team,season,valore_rosa_eur,n_giocatori,valore_rosa_milioni,affidabile
Fiorentina,2020/2021,299100000,38,299.1,True
Fiorentina,2021/2022,305300000,30,305.3,True
Fiorentina,2022/2023,257600000,30,257.6,True
Fiorentina,2023/2024,253800000,32,253.8,True
Fiorentina,2024/2025,331200000,32,331.2,True
Fiorentina,2025/2026,262100000,36,262.1,True
Frosinone,2006/2007,75000,1,0.1,False
Frosinone,2007/2008,900000,1,0.9,False
Frosinone,2008/2009,2450000,6,2.4,False
Frosinone,2009/2010,2950000,5,3.0,False
Frosinone,2010/2011,8150000,11,8.2,False
Frosinone,2011/2012,800000,3,0.8,False
Frosinone,2012/2013,1725000,9,1.7,False
Frosinone,2013/2014,3825000,14,3.8,False
Frosinone,2014/2015,13950000,21,14.0,True
Frosinone,2015/2016,32000000,25,32.0,True
Frosinone,2016/2017,28275000,28,28.3,True
Frosinone,2017/2018,21450000,24,21.4,True
Frosinone,2018/2019,50850000,33,50.8,True
Frosinone,2019/2020,17025000,23,17.0,True
Frosinone,2020/2021,19025000,32,19.0,True
Frosinone,2021/2022,24650000,28,24.6,True
Frosinone,2022/2023,39175000,31,39.2,True
Frosinone,2023/2024,104650000,36,104.6,True
Frosinone,2024/2025,9550000,8,9.6,False
Frosinone,2025/2026,8900000,5,8.9,False
Genoa,2004/2005,3000000,2,3.0,False
Genoa,2005/2006,900000,1,0.9,False
Genoa,2006/2007,1050000,2,1.0,False
Genoa,2007/2008,34000000,8,34.0,False
Genoa,2008/2009,43700000,12,43.7,False
Genoa,2009/2010,77100000,14,77.1,False
Genoa,2010/2011,113200000,23,113.2,True
Genoa,2011/2012,61850000,19,61.8,True
Genoa,2012/2013,57500000,29,57.5,True
Genoa,2013/2014,56100000,27,56.1,True
Genoa,2014/2015,104650000,46,104.6,True
Genoa,2015/2016,88725000,28,88.7,True
Genoa,2016/2017,106725000,37,106.7,True
Genoa,2017/2018,96800000,33,96.8,True
Genoa,2018/2019,154700000,33,154.7,True
Genoa,2019/2020,147850000,36,147.8,True
Genoa,2020/2021,168550000,50,168.6,True
Genoa,2021/2022,110350000,42,110.4,True
Genoa,2022/2023,60050000,31,60.0,True
Genoa,2023/2024,184050000,33,184.0,True
Genoa,2024/2025,169550000,34,169.6,True
Genoa,2025/2026,179400000,31,179.4,True
Inter,2006/2007,50000,1,0.0,False
Inter,2007/2008,3000000,1,3.0,False
Inter,2008/2009,6000000,1,6.0,False
Inter,2009/2010,21600000,3,21.6,False
Inter,2010/2011,41500000,3,41.5,False
Inter,2011/2012,27800000,6,27.8,False
Inter,2012/2013,50950000,8,51.0,False
Inter,2013/2014,58000000,5,58.0,False
Inter,2014/2015,284850000,44,284.8,True
Inter,2015/2016,360700000,43,360.7,True
Inter,2016/2017,345000000,36,345.0,True
Inter,2017/2018,390925000,27,390.9,True
Inter,2018/2019,470800000,22,470.8,True
Inter,2019/2020,606250000,30,606.2,True
Inter,2020/2021,695900000,37,695.9,True
Inter,2021/2022,540700000,29,540.7,True
Inter,2022/2023,555400000,26,555.4,True
Inter,2023/2024,647800000,27,647.8,True
Inter,2024/2025,684300000,30,684.3,True
Inter,2025/2026,650200000,25,650.2,True
Juventus,2004/2005,76000000,5,76.0,False
Juventus,2005/2006,88500000,8,88.5,False
Juventus,2006/2007,54600000,7,54.6,False
Juventus,2007/2008,111700000,11,111.7,False
Juventus,2008/2009,107000000,8,107.0,False
Juventus,2009/2010,133800000,12,133.8,False
Juventus,2010/2011,170000000,19,170.0,True
Juventus,2011/2012,206300000,22,206.3,True
Juventus,2012/2013,254250000,26,254.2,True
Juventus,2013/2014,296050000,26,296.0,True
Juventus,2014/2015,301375000,38,301.4,True
Juventus,2015/2016,427975000,36,428.0,True
Juventus,2016/2017,506900000,27,506.9,True
Juventus,2017/2018,517800000,20,517.8,True
Juventus,2018/2019,755500000,23,755.5,True
Juventus,2019/2020,614900000,24,614.9,True
Juventus,2020/2021,673600000,30,673.6,True
Juventus,2021/2022,572900000,27,572.9,True
Juventus,2022/2023,448100000,29,448.1,True
Juventus,2023/2024,464200000,27,464.2,True
Juventus,2024/2025,619700000,31,619.7,True
Juventus,2025/2026,512200000,28,512.2,True
Lazio,2004/2005,16000000,3,16.0,False
Lazio,2005/2006,20400000,5,20.4,False
Lazio,2006/2007,41000000,8,41.0,False
Lazio,2007/2008,67300000,12,67.3,False
Lazio,2008/2009,83500000,15,83.5,True
Lazio,2009/2010,91400000,17,91.4,True
Lazio,2010/2011,81450000,20,81.4,True
Lazio,2011/2012,89375000,23,89.4,True
Lazio,2012/2013,109800000,26,109.8,True
Lazio,2013/2014,112250000,21,112.2,True
Lazio,2014/2015,137550000,34,137.6,True
Lazio,2015/2016,149600000,34,149.6,True
Lazio,2016/2017,216850000,35,216.8,True
Lazio,2017/2018,354200000,34,354.2,True
Lazio,2018/2019,276650000,35,276.6,True
Lazio,2019/2020,304125000,31,304.1,True
Lazio,2020/2021,330300000,39,330.3,True
Lazio,2021/2022,263325000,35,263.3,True
Lazio,2022/2023,261450000,26,261.4,True
Lazio,2023/2024,224800000,29,224.8,True
Lazio,2024/2025,287600000,33,287.6,True
Lazio,2025/2026,282850000,33,282.8,True
Lecce,2004/2005,8350000,4,8.4,False
Lecce,2005/2006,15500000,4,15.5,False
Lecce,2006/2007,50000,1,0.0,False
Lecce,2007/2008,5600000,5,5.6,False
Lecce,2008/2009,13250000,8,13.2,False
Lecce,2009/2010,14300000,10,14.3,False
Lecce,2010/2011,16150000,12,16.2,False
Lecce,2011/2012,24150000,12,24.2,False
Lecce,2012/2013,1100000,4,1.1,False
Lecce,2013/2014,1275000,4,1.3,False
Lecce,2014/2015,2550000,9,2.6,False
Lecce,2015/2016,1775000,10,1.8,False
Lecce,2016/2017,2050000,9,2.0,False
Lecce,2017/2018,1950000,9,2.0,False
Lecce,2018/2019,22075000,23,22.1,True
Lecce,2019/2020,50575000,33,50.6,True
Lecce,2020/2021,63075000,42,63.1,True
Lecce,2021/2022,38475000,29,38.5,True
Lecce,2022/2023,100225000,35,100.2,True
Lecce,2023/2024,98975000,31,99.0,True
Lecce,2024/2025,96900000,37,96.9,True
Lecce,2025/2026,93675000,31,93.7,True
Milan,2004/2005,60000000,5,60.0,False
Milan,2005/2006,97500000,5,97.5,False
Milan,2006/2007,111600000,7,111.6,False
Milan,2007/2008,130550000,10,130.6,False
Milan,2008/2009,131800000,9,131.8,False
Milan,2009/2010,81850000,10,81.8,False
Milan,2010/2011,139500000,14,139.5,False
Milan,2011/2012,147650000,16,147.6,True
Milan,2012/2013,159050000,21,159.0,True
Milan,2013/2014,158600000,20,158.6,True
Milan,2014/2015,159700000,30,159.7,True
Milan,2015/2016,176250000,28,176.2,True
Milan,2016/2017,231150000,29,231.2,True
Milan,2017/2018,369800000,28,369.8,True
Milan,2018/2019,538600000,28,538.6,True
Milan,2019/2020,413600000,28,413.6,True
Milan,2020/2021,558400000,38,558.4,True
Milan,2021/2022,531400000,30,531.4,True
Milan,2022/2023,545500000,32,545.5,True
Milan,2023/2024,543050000,30,543.0,True
Milan,2024/2025,546700000,30,546.7,True
Milan,2025/2026,429200000,23,429.2,True
Monza,2014/2015,1250000,10,1.2,False
Monza,2015/2016,150000,3,0.2,False
Monza,2019/2020,8250000,16,8.2,True
Monza,2020/2021,44550000,23,44.6,True
Monza,2021/2022,47850000,33,47.8,True
Monza,2022/2023,136500000,38,136.5,True
Monza,2023/2024,141700000,34,141.7,True
Monza,2024/2025,75450000,31,75.4,True
Monza,2025/2026,24600000,14,24.6,False
Napoli,2004/2005,4100000,4,4.1,False
Napoli,2006/2007,8800000,4,8.8,False
Napoli,2007/2008,32700000,10,32.7,False
Napoli,2008/2009,37800000,9,37.8,False
Napoli,2009/2010,57600000,13,57.6,False
Napoli,2010/2011,85550000,17,85.6,True
Napoli,2011/2012,123025000,16,123.0,True
Napoli,2012/2013,158450000,19,158.4,True
Napoli,2013/2014,194150000,23,194.2,True
Napoli,2014/2015,244775000,37,244.8,True
Napoli,2015/2016,289350000,29,289.4,True
Napoli,2016/2017,411675000,35,411.7,True
Napoli,2017/2018,435900000,25,435.9,True
Napoli,2018/2019,549000000,22,549.0,True
Napoli,2019/2020,515700000,28,515.7,True
Napoli,2020/2021,592600000,30,592.6,True
Napoli,2021/2022,469800000,26,469.8,True
Napoli,2022/2023,645300000,29,645.3,True
Napoli,2023/2024,502350000,30,502.4,True
Napoli,2024/2025,476550000,29,476.6,True
Napoli,2025/2026,454100000,29,454.1,True
Parma,2004/2005,54600000,12,54.6,False
Parma,2005/2006,21300000,11,21.3,False
Parma,2006/2007,27250000,13,27.2,False
Parma,2007/2008,31850000,11,31.8,False
Parma,2008/2009,17300000,9,17.3,False
Parma,2009/2010,53450000,16,53.4,True
Parma,2010/2011,64650000,21,64.6,True
Parma,2011/2012,67050000,23,67.0,True
Parma,2012/2013,60950000,29,61.0,True
Parma,2013/2014,71700000,34,71.7,True
Parma,2014/2015,57200000,41,57.2,True
Parma,2015/2016,16875000,16,16.9,True
Parma,2016/2017,4225000,16,4.2,True
Parma,2017/2018,20825000,32,20.8,True
Parma,2018/2019,75475000,34,75.5,True
Parma,2019/2020,109900000,24,109.9,True
Parma,2020/2021,176575000,46,176.6,True
Parma,2021/2022,62100000,39,62.1,True
Parma,2022/2023,49700000,32,49.7,True
Parma,2023/2024,75250000,24,75.2,True
Parma,2024/2025,173000000,32,173.0,True
Parma,2025/2026,190600000,31,190.6,True
Pisa,2007/2008,100000,2,0.1,False
Pisa,2008/2009,850000,3,0.8,False
Pisa,2010/2011,100000,2,0.1,False
Pisa,2011/2012,1200000,7,1.2,False
Pisa,2012/2013,1825000,9,1.8,False
Pisa,2013/2014,1925000,9,1.9,False
Pisa,2014/2015,1275000,7,1.3,False
Pisa,2015/2016,2400000,10,2.4,False
Pisa,2016/2017,6775000,18,6.8,True
Pisa,2017/2018,2775000,12,2.8,False
Pisa,2018/2019,2500000,11,2.5,False
Pisa,2019/2020,10900000,20,10.9,True
Pisa,2020/2021,16625000,25,16.6,True
Pisa,2021/2022,31200000,24,31.2,True
Pisa,2022/2023,29900000,26,29.9,True
Pisa,2023/2024,17800000,16,17.8,True
Pisa,2024/2025,56100000,19,56.1,True
Pisa,2025/2026,100200000,30,100.2,True
Roma,2004/2005,101500000,7,101.5,False
Roma,2005/2006,115600000,8,115.6,False
Roma,2006/2007,127600000,10,127.6,False
Roma,2007/2008,116200000,8,116.2,False
Roma,2008/2009,145500000,9,145.5,False
Roma,2009/2010,166300000,14,166.3,False
Roma,2010/2011,119300000,17,119.3,True
Roma,2011/2012,105300000,17,105.3,True
Roma,2012/2013,125050000,23,125.0,True
Roma,2013/2014,149300000,26,149.3,True
Roma,2014/2015,184250000,37,184.2,True
Roma,2015/2016,292175000,35,292.2,True
Roma,2016/2017,305900000,28,305.9,True
Roma,2017/2018,401800000,26,401.8,True
Roma,2018/2019,368900000,23,368.9,True
Roma,2019/2020,365250000,29,365.2,True
Roma,2020/2021,443300000,37,443.3,True
Roma,2021/2022,387450000,35,387.4,True
Roma,2022/2023,352950000,31,353.0,True
Roma,2023/2024,333650000,28,333.6,True
Roma,2024/2025,363500000,31,363.5,True
Roma,2025/2026,496400000,31,496.4,True
Salernitana,2004/2005,3400000,3,3.4,False
Salernitana,2008/2009,500000,1,0.5,False
Salernitana,2009/2010,4400000,6,4.4,False
Salernitana,2010/2011,1175000,5,1.2,False
Salernitana,2012/2013,600000,5,0.6,False
Salernitana,2013/2014,1725000,9,1.7,False
Salernitana,2014/2015,1100000,7,1.1,False
Salernitana,2015/2016,7000000,17,7.0,True
Salernitana,2016/2017,11500000,17,11.5,True
Salernitana,2017/2018,12750000,23,12.8,True
Salernitana,2018/2019,11450000,22,11.4,True
Salernitana,2019/2020,12225000,19,12.2,True
Salernitana,2020/2021,26175000,32,26.2,True
Salernitana,2021/2022,70450000,38,70.4,True
Salernitana,2022/2023,114100000,32,114.1,True
Salernitana,2023/2024,97050000,39,97.0,True
Salernitana,2024/2025,16850000,15,16.8,True
Salernitana,2025/2026,200000,1,0.2,False
Sampdoria,2004/2005,7050000,3,7.0,False
Sampdoria,2005/2006,5650000,5,5.6,False
Sampdoria,2006/2007,31900000,6,31.9,False
Sampdoria,2007/2008,43350000,12,43.4,False
Sampdoria,2008/2009,39800000,8,39.8,False
Sampdoria,2009/2010,65300000,14,65.3,False
Sampdoria,2010/2011,87100000,21,87.1,True
Sampdoria,2011/2012,36950000,23,37.0,True
Sampdoria,2012/2013,65300000,24,65.3,True
Sampdoria,2013/2014,60200000,27,60.2,True
Sampdoria,2014/2015,84875000,36,84.9,True
Sampdoria,2015/2016,89475000,33,89.5,True
Sampdoria,2016/2017,131025000,37,131.0,True
Sampdoria,2017/2018,163650000,24,163.6,True
Sampdoria,2018/2019,196500000,25,196.5,True
Sampdoria,2019/2020,134550000,32,134.6,True
Sampdoria,2020/2021,147650000,37,147.6,True
Sampdoria,2021/2022,108400000,33,108.4,True
Sampdoria,2022/2023,81800000,39,81.8,True
Sampdoria,2023/2024,26050000,13,26.0,False
Sampdoria,2024/2025,7750000,10,7.8,False
Sampdoria,2025/2026,8900000,7,8.9,False
Sassuolo,2005/2006,100000,1,0.1,False
Sassuolo,2008/2009,4200000,7,4.2,False
Sassuolo,2009/2010,4600000,6,4.6,False
Sassuolo,2010/2011,5700000,11,5.7,False
Sassuolo,2011/2012,13700000,14,13.7,False
Sassuolo,2012/2013,21400000,17,21.4,True
Sassuolo,2013/2014,50050000,24,50.0,True
Sassuolo,2014/2015,79125000,30,79.1,True
Sassuolo,2015/2016,90950000,28,91.0,True
Sassuolo,2016/2017,128475000,31,128.5,True
Sassuolo,2017/2018,111950000,28,112.0,True
Sassuolo,2018/2019,174900000,28,174.9,True
Sassuolo,2019/2020,160775000,31,160.8,True
Sassuolo,2020/2021,233475000,35,233.5,True
Sassuolo,2021/2022,247900000,32,247.9,True
Sassuolo,2022/2023,200650000,32,200.6,True
Sassuolo,2023/2024,133400000,29,133.4,True
Sassuolo,2024/2025,78600000,20,78.6,True
Sassuolo,2025/2026,199800000,30,199.8,True
Spal,2009/2010,325000,2,0.3,False
Spal,2010/2011,400000,1,0.4,False
Spal,2014/2015,1950000,11,2.0,False
Spal,2015/2016,3175000,13,3.2,False
Spal,2016/2017,19175000,23,19.2,True
Spal,2017/2018,54700000,30,54.7,True
Spal,2018/2019,78750000,30,78.8,True
Spal,2019/2020,59925000,29,59.9,True
Spal,2020/2021,66350000,39,66.4,True
Spal,2021/2022,23750000,32,23.8,True
Spal,2022/2023,15725000,28,15.7,True
Spal,2023/2024,150000,2,0.2,False
Spezia,2004/2005,100000,2,0.1,False
Spezia,2006/2007,200000,1,0.2,False
Spezia,2010/2011,475000,2,0.5,False
Spezia,2011/2012,875000,3,0.9,False
Spezia,2012/2013,9500000,10,9.5,False
Spezia,2013/2014,13000000,15,13.0,True
Spezia,2014/2015,15175000,22,15.2,True
Spezia,2015/2016,7700000,17,7.7,True
Spezia,2016/2017,15000000,21,15.0,True
Spezia,2017/2018,15100000,29,15.1,True
Spezia,2018/2019,20475000,24,20.5,True
Spezia,2019/2020,13600000,24,13.6,True
Spezia,2020/2021,69900000,39,69.9,True
Spezia,2021/2022,74450000,27,74.4,True
Spezia,2022/2023,93900000,34,93.9,True
Spezia,2023/2024,26750000,19,26.8,True
Spezia,2024/2025,35950000,6,36.0,False
Spezia,2025/2026,10350000,6,10.4,False
Torino,2005/2006,3300000,3,3.3,False
Torino,2006/2007,15300000,4,15.3,False
Torino,2007/2008,22800000,7,22.8,False
Torino,2008/2009,22400000,6,22.4,False
Torino,2009/2010,13200000,8,13.2,False
Torino,2010/2011,16150000,12,16.2,False
Torino,2011/2012,22450000,19,22.4,True
Torino,2012/2013,43775000,25,43.8,True
Torino,2013/2014,46500000,24,46.5,True
Torino,2014/2015,74375000,33,74.4,True
Torino,2015/2016,84500000,29,84.5,True
Torino,2016/2017,134300000,32,134.3,True
Torino,2017/2018,146500000,27,146.5,True
Torino,2018/2019,193525000,26,193.5,True
Torino,2019/2020,174350000,27,174.4,True
Torino,2020/2021,178150000,38,178.2,True
Torino,2021/2022,217300000,33,217.3,True
Torino,2022/2023,196500000,32,196.5,True
Torino,2023/2024,202800000,31,202.8,True
Torino,2024/2025,177700000,29,177.7,True
Torino,2025/2026,149600000,34,149.6,True
Udinese,2004/2005,39700000,9,39.7,False
Udinese,2005/2006,48000000,12,48.0,False
Udinese,2006/2007,40100000,8,40.1,False
Udinese,2007/2008,65700000,13,65.7,False
Udinese,2008/2009,67900000,14,67.9,False
Udinese,2009/2010,95400000,20,95.4,True
Udinese,2010/2011,106400000,21,106.4,True
Udinese,2011/2012,91300000,22,91.3,True
Udinese,2012/2013,81525000,26,81.5,True
Udinese,2013/2014,82875000,30,82.9,True
Udinese,2014/2015,95025000,40,95.0,True
Udinese,2015/2016,86475000,36,86.5,True
Udinese,2016/2017,108750000,35,108.8,True
Udinese,2017/2018,99800000,30,99.8,True
Udinese,2018/2019,138750000,30,138.8,True
Udinese,2019/2020,113875000,26,113.9,True
Udinese,2020/2021,176850000,39,176.8,True
Udinese,2021/2022,136050000,29,136.0,True
Udinese,2022/2023,150300000,29,150.3,True
Udinese,2023/2024,146875000,38,146.9,True
Udinese,2024/2025,161650000,32,161.6,True
Udinese,2025/2026,198000000,31,198.0,True
Venezia,2007/2008,500000,1,0.5,False
Venezia,2015/2016,150000,1,0.2,False
Venezia,2016/2017,2350000,11,2.4,False
Venezia,2017/2018,9475000,16,9.5,True
Venezia,2018/2019,10550000,21,10.6,True
Venezia,2019/2020,9475000,22,9.5,True
Venezia,2020/2021,32100000,37,32.1,True
Venezia,2021/2022,78000000,36,78.0,True
Venezia,2022/2023,40050000,34,40.0,True
Venezia,2023/2024,27950000,15,28.0,True
Venezia,2024/2025,69800000,24,69.8,True
Venezia,2025/2026,26575000,15,26.6,True
Verona,2004/2005,5900000,6,5.9,False
Verona,2005/2006,200000,1,0.2,False
Verona,2006/2007,100000,2,0.1,False
Verona,2007/2008,200000,1,0.2,False
Verona,2009/2010,825000,3,0.8,False
Verona,2010/2011,1800000,6,1.8,False
